SOURCE_ID,FRAME_NUM,SCAN_ID,SRC,RA,DEC,SIGRA,SIGDEC,SIGRADEC,GLON,GLAT,ELON,ELAT,W1X,W1Y,W2X,W2Y,W1SKY,W1SIGSK,W1CONF,W2SKY,W2SIGSK,W2CONF,W1FITR,W2FITR,W1SNR,W2SNR,W1FLUX,W1SIGFLUX,W2FLUX,W2SIGFLUX,W1MPRO,W1SIGMPRO,W1RCHI2,W2MPRO,W2SIGMPRO,W2RCHI2,RCHI2,NB,,W1FRTR,W2FRTR,W1SAT,W2SAT,SATNUM,W1MAG,W1SIGM,W1FLG,W1MCOR,W2MAG,W2SIGM,W2FLG,W2MCOR,W1MAG_1,W1SIGM_1,W1FLG_1,W2MAG_1,W2SIGM_1,W2FLG_1,W1MAG_2,W1SIGM_2,W1FLG_2,W2MAG_2,W2SIGM_2,W2FLG_2,W1MAG_3,W1SIGM_3,W1FLG_3,W2MAG_3,W2SIGM_3,W2FLG_3,W1MAG_4,W1SIGM_4,W1FLG_4,W2MAG_4,W2SIGM_4,W2FLG_4,W1MAG_5,W1SIGM_5,W1FLG_5,W2MAG_5,W2SIGM_5,W2FLG_5,W1MAG_6,W1SIGM_6,W1FLG_6,W2MAG_6,W2SIGM_6,W2FLG_6,W1MAG_7,W1SIGM_7,W1FLG_7,W2MAG_7,W2SIGM_7,W2FLG_7,W1MAG_8,W1SIGM_8,W1FLG_8,W2MAG_8,W2SIGM_8,W2FLG_8,XSCPROX,W1CC_MAP,W1CC_MAP_STR,W2CC_MAP,W2CC_MAP_STR,CC_FLAGS,QUAL_FRAME,QI_FACT,SAA_SEP,MOON_MASKED,DET_BIT,PH_QUAL,SSO_FLG,TMASS_KEY,R_2MASS,PA_2MASS,N_2MASS,J_M_2MASS,J_MSIG_2MASS,H_M_2MASS,H_MSIG_2MASS,K_M_2MASS,K_MSIG_2MASS,ALLWISE_CNTR,R_ALLWISE,PA_ALLWISE,N_ALLWISE,W1MPRO_ALLWISE,W1SIGMPRO_ALLWISE,W2MPRO_ALLWISE,W2SIGMPRO_ALLWISE,W3MPRO_ALLWISE,W3SIGMPRO_ALLWISE,W4MPRO_ALLWISE,W4SIGMPRO_ALLWISE,MJD,CNTR,X,Y,Z,SPT_IND,HTM20
34515r125-002240,125,34515r,2240,14.07088,-2.78505,0.0424,0.0383,-0.0231,125.8652504,-65.6292098,11.8603739,-8.1157774,857.119,412.235,854.562,410.084,30.4,4.904,0.0,61.578,6.025,0.0,7.5,7.5,-16.3,-92.2,-439.53,26.971,-3741.2,40.559000000000005,16.431,,29.71,14.871,,386.4,210.8,1,0,0,0,0.0,0.0,0,12.625,0.046,1,0.26,11.587,0.038,3,0.326,13.736,0.082,1,12.643,0.055,3,12.884,0.046,1,11.913,0.038,3,12.275,0.03,3,11.437,0.038,3,11.796,0.023,3,11.077,0.044,3,11.389,0.02,3,10.774,0.044,3,11.032,0.018,3,10.511,0.042,3,10.712,0.016,3,10.275,0.038,3,10.416,0.014,3,10.052,0.034,3,,1161,DH,1161,DH,DD00,10,1.0,67.165,0,0,UU,0,,,,0,,,,,,,,,,0,,,,,,,,,59558.2245062,3451518125002240,0.96884999401816,0.24283488898678,-0.0485891529231553,100021300,8837982876269
34515r125-002241,125,34515r,2241,14.132644,-3.1592595,0.7443000000000001,0.7779,-0.2071,126.0586673,-66.0000993,11.7703358,-8.4844228,740.297,896.445,740.592,894.8530000000001,20.386,4.612,0.0,54.652,5.783,0.0,7.5,7.5,4.6000000000000005,1.7,73.054,16.017,46.505,27.654,16.102,0.238,1.269,14.624,,0.6378,0.9215,1,0,0,0,0.0,0.0,0,15.034,,32,0.26,14.13,,32,0.326,15.771,,32,14.921,,32,15.293,,32,14.456,,32,15.029,,32,13.985,,32,15.019,,32,13.578,,32,15.084,,32,13.161,,32,15.111,,32,12.872,,32,15.042000000000002,,32,12.738,,32,14.877,,32,12.609,,32,,0,,0,,0000,10,1.0,67.165,0,1,BU,0,,,,0,,,,,,,,,,0,,,,,,,,,59558.2245062,3451518125002241,0.968259262930912,0.243796467346316,-0.0551115437811634,100023020,8843886939376
34515r125-002242,125,34515r,2242,14.2092065,-3.1804739,0.795,0.6787000000000001,-0.3673,126.2490582,-66.0174574,11.8331475,-8.5337687,821.591,961.739,821.7180000000001,959.834,19.429,3.842,0.0,53.223000000000006,4.8020000000000005,0.0,7.5,7.5,1.9,4.4,36.29,18.72,146.66,33.646,16.092000000000002,,0.9928,14.228000000000002,0.249,0.6218,0.7843,1,0,10,0,0.0,0.0,0,13.844,,32,0.26,13.488,,32,0.326,14.795,,32,14.066,,32,14.104,,32,13.814,,32,13.889,,32,13.693,,32,13.807,,32,13.603000000000002,,32,13.752,,32,13.477,,32,13.704,,32,13.341,,32,13.61,,32,13.229,,32,13.431,,32,13.046,,32,,0,,0,,0000,10,1.0,67.165,0,2,UB,0,,,,0,,,,,,,,,,0,,,,,,,,,59558.2245062,3451518125002242,0.967912773495793,0.245085077246684,-0.0554812384024499,100023310,8846832428685
34515r125-002243,125,34515r,2243,14.182303,-3.084472,0.6708000000000001,0.6498,-0.1575,126.1711587,-65.9229493,11.8459816,-8.4348906,837.827,831.7330000000001,837.254,829.706,19.161,3.717,0.0,54.307,4.496,0.0,7.5,7.5,4.9,2.5,72.223,14.685,61.904,24.551,16.114,0.221,1.105,15.164,0.431,0.5384,0.8022,1,0,0,0,0.0,0.0,0,15.832,0.336,1,0.26,13.766,,32,0.326,16.48,0.327,1,14.563,,32,16.091,0.336,1,14.092,,32,16.004,0.457,3,13.882,,32,15.864,0.541,3,13.795,,32,15.499,0.451,3,13.768,,32,15.038,0.337,3,13.699,,32,14.689,0.289,3,13.578,,32,14.488,0.304,3,13.278,,32,,0,,0,,0000,10,1.0,67.165,0,3,BC,0,,,,0,,,,,,,1.3600310135102258e+17,1.813182,-117.9,1,16.62,0.096,16.858,0.498,11.681,,8.53,,59558.2245062,3451518125002243,0.968116516911789,0.244652995207003,-0.0538081928597125,100023020,8843884154250
34515r125-002244,125,34515r,2244,13.8065466,-2.5842585,0.6603,0.7135,-0.1992,125.2085806,-65.4392725,11.693886,-7.827939,644.4780000000001,32.902,641.715,31.648000000000003,21.224,4.343,0.0,53.715,3.934,0.0,7.5,7.5,5.1000000000000005,2.2,87.726,17.292,52.383,23.362,15.903,0.214,1.019,15.346,0.484,0.3697,0.6596000000000001,1,0,0,0,0.0,0.0,0,15.629,0.194,4,0.26,13.974,,32,0.326,16.468,0.121,2,14.676,,32,15.888,0.194,4,14.3,,32,15.509,0.255,2,14.121,,32,12.003,,32,13.973,,32,11.75,,32,13.814,,32,11.535,,32,13.605,,32,11.342,,32,13.146,,32,11.09,,32,12.406,,32,,0,,0,,0000,10,1.0,67.165,0,3,BC,0,,,,0,,,,,,,1.3600310135104147e+17,2.057938,-49.2,1,16.868000000000002,0.131,16.208000000000002,0.268,11.785,,8.171000000000001,,59558.2245062,3451518125002244,0.970119398265959,0.238401715029403,-0.0450885282431348,100021300,8838011661260
34515r125-002245,125,34515r,2245,14.1049538,-2.6500408,0.5996,0.629,-0.2981,125.93238,-65.4927744,11.9451648,-8.0047021,967.569,266.403,963.688,263.78200000000004,20.044,3.911,0.0,54.189,4.932,0.0,7.5,7.5,4.9,3.3000000000000003,76.656,15.688,89.321,26.722,16.05,0.222,1.081,14.766,0.325,0.6811,0.8471000000000001,1,0,0,0,0.0,0.0,0,15.054,,32,0.26,13.719,,32,0.326,15.731,,32,14.551,,32,15.313,,32,14.045,,32,15.188,,32,13.762,,32,15.17,,32,13.656,,32,15.123,,32,13.624,,32,14.935,,32,13.5,,32,14.657,,32,13.114,,32,14.45,,32,12.731,,32,,0,,0,,0000,10,1.0,67.165,0,3,BB,0,,,,0,,,,,,,1.3600310135104312e+17,0.940228,80.3,1,16.139,0.065,16.065,0.229,11.596,,8.199,,59558.2245062,3451518125002245,0.968813760799053,0.243438247203698,-0.0462354483571413,100021300,8837976492883
34515r125-002246,125,34515r,2246,14.081571,-2.6881166,0.8049000000000001,0.7887000000000001,-0.2772,125.8803358,-65.5318894,11.9084595,-8.0306687,919.904,300.451,916.476,298.031,20.265,3.999,0.0,55.113,4.33,0.0,7.5,7.5,1.9,3.9,29.532,15.589,136.06,34.56,16.303,,0.8331000000000001,14.309,0.276,0.8084,0.7797000000000001,1,0,0,0,0.0,0.0,0,15.387,,32,0.26,13.569,,32,0.326,16.066000000000003,,32,14.222,,32,15.646,,32,13.895,,32,15.366,,32,13.663,,32,15.117,,32,13.524,,32,14.938,,32,13.484,,32,14.766,,32,13.487,,32,14.532,,32,16.327,,32,14.287,,32,13.405,,32,,1032,H,0,,H000,10,1.0,67.165,0,2,UB,0,,,,0,,,,,,,,,,0,,,,,,,,,59558.2245062,3451518125002246,0.968883012606574,0.243035318094412,-0.0468992754864966,100021300,8837974472088
34515r125-002247,125,34515r,2247,13.5356511,-2.718595,0.7396,0.7691,-0.2997,124.565923,-65.5817752,11.389471,-7.8460524,250.368,56.27,250.0,56.788,20.786,4.308,0.0,54.093,5.103000000000001,0.0,7.5,7.5,4.5,-1.0,72.007,16.074,-24.554,24.619,16.117,0.242,0.6479,15.413,,0.7622,0.6665,1,0,0,0,0.0,0.0,0,15.181,,32,0.26,14.392,,32,0.326,16.607,0.49,1,14.845,,32,15.441,,32,14.718,,32,15.256,,32,14.578,,32,15.083,,32,14.351,,32,14.949,,32,14.08,,32,14.698,,32,14.728000000000002,,32,14.289,,32,13.4,,32,14.333,0.319,3,13.028,,32,,0,,0,,0000,10,1.0,67.165,0,1,BU,0,,,,0,,,,,,,1.3600310135103805e+17,2.287324,156.5,1,16.219,0.071,15.922,0.202,12.034,,8.459,,59558.2245062,3451518125002247,0.971130270321148,0.233786939802667,-0.0474306319131354,100021303,8838190310615
34515r125-002248,125,34515r,2248,13.856847,-2.7330574,0.9575,0.6895,-0.2488,125.3428042,-65.5861422,11.6820177,-7.9845519,627.395,239.054,625.5640000000001,237.905,19.643,4.136,0.0,54.653000000000006,5.34,0.0,7.5,7.5,4.0,0.8,112.58,28.383000000000003,23.544,30.06,15.632,0.274,0.8275,14.837000000000002,,1.126,0.9117,1,0,10,0,0.0,0.0,0,15.018,,32,0.26,19.232,,32,0.326,15.507,,32,15.279,,32,15.277,,32,19.558,,32,15.15,,32,16.386,,32,15.049,,32,13.919,,32,14.961,,32,13.683,,32,14.86,,32,13.518,,32,14.652,,32,13.256,,32,14.314,,32,13.043,,32,,0,,0,,0000,10,1.0,67.165,0,1,BU,0,,,,0,,,,,,,1.3600310135104091e+17,2.132767,75.3,1,16.0,0.058,16.823,0.443,11.54,,8.785,,59558.2245062,3451518125002248,0.969792770632844,0.239224447243537,-0.0476827628110736,100021300,8838026417092
34515r125-002249,125,34515r,2249,13.6450273,-3.2240214,0.7347,0.6406000000000001,-0.2787,124.8668861,-66.0839778,11.2916618,-8.3539994,121.958,722.883,125.14,723.914,19.193,3.451,0.0,54.079,5.195,0.0,7.5,7.5,5.3,1.3,88.16,16.772000000000002,27.085,21.296,15.898,0.207,0.8466,15.036,,0.9509,0.8513000000000001,1,0,0,0,0.0,0.0,0,15.573,0.307,2,0.26,14.605,,32,0.326,16.436,0.389,0,15.261,,32,15.833,0.307,2,14.931,,32,15.534,0.288,2,15.501,,32,15.359,0.296,3,13.856,,32,15.181,0.304,3,13.555,,32,15.029,0.312,3,13.587000000000002,,32,14.796,0.294,3,13.216,,32,14.351,0.227,3,12.942,,32,,0,,0,,0000,10,1.0,67.165,0,1,BU,0,,,,0,,,,,,,,,,0,,,,,,,,,59558.2245062,3451518125002249,0.970237852388646,0.235532505336252,-0.0562400988823443,100021110,8836141500880
